country,medialist
Gambia,"['grts.gm', 'banjulfocus.com', 'freedomnewspaper.com', 'gainako.com', 'thegambiaecho.com', 'jollofnews.com', 'senegambianews.com', 'observer.gm', 'thepoint.gm', 'dailynews.gm', 'foroyaa.gm']"
Bonaire,"['bonfm.com', 'vozdibonaire.com', 'bonaire.nu', 'bonairevandaag.com', 'boneiruawe.com', 'antilliaansdagblad.com', 'bonairereporter.com']"
Tunisia,"['radiotunis.com', 'watania1.tn', 'babnet.net', 'gnet.tn', 'infotunisie.com', 'tdailynews.net', 'thetunistimes.com', 'tunisiadaily.com', 'tunisiaonlinenews.com', 'tunisiefocus.com', 'leconomistemaghrebin.com', 'ar.leaders.com.tn', 'leaders.com.tn', 'realites.com.tn', 'tunivisions.net', 'assabah.com.tn', 'essahafa.info.tn', 'lapresse.tn', 'letemps.com.tn', 'tap.info.tn', 'alchourouk.com', 'attounissia.com.tn', 'lemaghreb.tn', 'lexpertjournal.net']"
Macau,"['portugues.tdm.com.mo', 'tdm.com.mo', 'macaunews.com.mo', 'macaunews.net', 'macaucloser.com', 'revistamacau.com', 'macaodaily.com', 'hojemacau.com', 'jtm.com.mo', 'macaudailytimes.com.mo', 'macaupostdaily.com', 'oclarim.com.mo', 'pontofinalmacau.wordpress.com', 'sonpou.com.mo', 'vakiodaily.com']"
Turkey,"['kanald.com.tr', 'ntvmsnbc.com', 'pusula.tv', 'samanyoluhaber.com', 'skyturk360.com', 'trthaber.com', 'ulusalkanal.com.tr', 'cevrimicihaber.com', 'gazeteoku.net', 'haber10.com', 'haberfx.net', 'haberport.com', 'habertuar.com', 'haberinsitesi.com', 'hyetert.blogspot.com.tr', 'istanbulpost.net', 'turkishweekly.net', 'kamusaati.com', 'mesajhaber.com', 'netgazete.com', 'patlakhaber.com', 'turkeydailynews.com', 'burasiturkiye.com', 'haberler.gen.al', 'medya365.com', 'sansursuz.com', 'turkishpress.com', 'aksiyon.com.tr', 'aydinlik.com.tr', 'yenimesaj.com.tr', 'yeniumit.com.tr', 'aksam.com.tr', 'hurriyet.com.tr', 'milliyet.com.tr', 'posta.com.tr', 'dailysabah.com', 'sabah.com.tr', 'turkiyegazetesi.com.tr', 'zaman.com.tr', 'ba.aa.com.tr', 'aa.com.tr', 'ar.cihan.com.tr', 'en.cihan.com.tr', 'ru.cihan.com.tr', 'cihan.com.tr', 'ankarahaber.com', 'alanyabote.com', 'alanyahaber.com', 'tuerkei-zeitung.de', 'turkishrivieranews.com', 'yenialanya.com', 'anthaber.net', 'antalyadanhaber.com', 'beyazakdeniz.com', 'haberantalya.com', 'didimtoday.com', 'voicesnewspaper.com', 'mucadele.com.tr', 'korfezinsesi.com', 'batmangazetesi.com', 'batmanpostasigazetesi.com', 'bolugundem.com', 'boluolay.com', 'bolununsesi.com', 'agbursa.com', 'ekohaber.com.tr', 'kentgazetesi.com', 'medyaplus.com', 'burasicanakkale.com', 'buyukzafer.org', 'çankırıhaber.com', 'haberelazig.com', 'erzurumgazetesi.com.tr', 'sakaryagazetesi.com.tr', 'guncelgazete.com', 'hataygazetesi.com', 'agos.com.tr', 'bugun.com.tr', 'cumhuriyet.com.tr', 'dunya.com', 'evrensel.net', 'fanatik.com.tr', 'fotomac.com.tr', 'gunes.com', 'haberturk.com', 'hurriyetdailynews.com', 'normarmara.com', 'milligazete.com.tr', 'gundem-online.com', 'radikal.com.tr', 'resmigazete.gov.tr', 'salom.com.tr', 'sozcu.com.tr', 'stargazete.com', 'takvim.com.tr', 'taraf.com.tr', 'tercuman.com.tr', 'todayszaman.com', 'gazetevatan.com', 'wsj.com.tr', 'yeniakit.com.tr', 'yeniasya.com.tr', 'yenisafak.com.tr', 'yenicaggazetesi.com.tr', 'atakoygazete.com.tr', 'besiktasgazetesi.com', 'aydinses.com', 'gazetekadikoy.com.tr', 'kadikoygazetesi.com', 'kartalgazetesi.com', 'haberekspres.com.tr', 'kuzeyege.net', 'yeniasir.com.tr', 'menemeninsesi.com', 'elbistaninsesi.com', 'kayserigundem.com', 'kayserihaber.com.tr', 'gebzegazetesi.com', 'bizimkocaeli.com', 'kocaeligazetesi.com.tr', 'ozgurkocaeli.com.tr', 'beysehirgol.com', 'yenikonya.com.tr', 'merhabahaber.com', 'yenimeram.com.tr', 'darendehaber.com', 'malatyagercek.com', 'malatyahaber.com', 'malatyam.com', 'guneyege.net', 'basakgazetesi.com', 'hedefhalk.com', 'urfahaber.net', 'medya73.com', 'karadenizgazete.net', 'sorgunpostasi.com']"
Niger,"['news.aniamey.com', 'actuniger.com', 'nigerdiaspora.net', 'tamtaminfo.com', 'lesahel.org']"
Comoros,"['comores-actualites.com', 'comores-infos.net', 'comoresonline.net', 'comores-web.com', 'habarizacomores.com', 'alwatwan.net', 'lagazettedescomores.com']"
Montenegro,"['antenam.net', 'rtcg.me', 'rtvin.com', 'cdm.me', 'montenews.me', 'mozakubi.me', 'pcnen.com', 'monitorcg.com', 'dan.co.me', 'pobjeda.co.me', 'vijesti.me', 'mina-info.me', 'pvnovine.com', 'dnevne.me', 'kohajavore.co.me']"
Bermuda,"['bermudabroadcasting.com', 'vsb.bm', 'bermudareal.com', 'bermudatoday.com', 'bermudawired.com', 'bernews.com', 'todayinbermuda.com', 'thebermudian.com', 'royalgazette.com']"
Equatorial Guinea,"['diariorombe.es', 'guineaecuatorialpress.com', 'guinea-ecuatorial.net', 'gacetadeguinea.com', 'losanuncios.net', 'lagacetadeguinea.com']"
Malta,"['one.com.mt', 'newsbook.com.mt', 'tvm.com.mt', 'di-ve.com', 'maltamediaonline.com', 'maltarightnow.com', 'maltasport.com', 'maltastar.com', 'orizzont.com.mt', 'timesofmalta.com', 'kullhadd.com', 'businesstoday.com.mt', 'illum.com.mt', 'maltatoday.com.mt', 'maltanow.com.mt', 'torca.com.mt', 'independent.com.mt', 'gozonews.com']"
Belgium,"['een.be', 'kanaalz.rnews.be', 'radio1.be', 'radiovisie.eu', 'rtbf.be', 'rtl.be', 'deredactie.be', 'vtm.be', '7sur7.be', 'news.google.be', 'hoofdpunten.be', 'krantenkoppen.be', 'nieuwsanker.be', 'politics.be', 'tscheldt.be', 'vvb.org', 'waalsweekblad.be', 'expatica.com', 'knack.be', 'levif.be', 'meervoud.org', 'mo.be', 'trends.levif.be', 'trends.knack.be', 'ejustice.just.fgov.be', 'nieuwsblad.be', 'demorgen.be', 'standaard.be', 'tijd.be', 'hln.be', 'dhnet.be', 'lalibre.be', 'lesoir.be', 'lecho.be', 'belga.be', 'atv.be', 'gva.be', 'lavenir.net', 'brusselstimes.com', 'bx1.be', 'lacapitale.be', 'tbx.be', 'metrotime.be', 'lanouvellegazette.be', 'laprovince.be', 'telemb.be', 'nordeclair.be', 'brf.be', 'grenzecho.be', 'lameuse.be', 'rtc.be', 'demer.be', 'hbvl.be', 'sudinfo.be', 'canteclaer.be', 'tvl.be', 'kw.knack.be']"
Reunion,"['antennereunion.fr', 'reunion.la1ere.fr', 'réunion.info', 'clicanoo.re', 'temoignages.re', 'ipreunion.com']"
Bahamas,"['znsbahamas.com', 'bahamasb2b.com', 'bahamasnews.net', 'bahamaspost.com', 'bahamaspress.com', 'bahamasspectator.com', 'thebahamasweekly.com', 'abacolife.com', 'freeport.nassauguardian.net', 'jonesbahamas.com', 'thenassauguardian.com', 'theabaconian.com', 'eleutheranews.com', 'abacojournal.com', 'abaconian.com', 'nassaupunch.com', 'tribune242.com', 'whatsonbahamas.com']"
Europe Regional,"['bbc.co.uk', 'cnbc.com', 'cnn.com', 'edition.cnn.com', 'arabic.euronews.com', 'de.euronews.com', 'gr.euronews.com', 'euronews.com', 'persian.euronews.com', 'fr.euronews.com', 'hu.euronews.com', 'it.euronews.com', 'pl.euronews.com', 'pt.euronews.com', 'ru.euronews.com', 'es.euronews.com', 'tr.euronews.com', 'ua.euronews.com', 'rferl.org', 'slobodnaevropa.org', 'anhourago.eu', 'balkaninsight.com', 'balkanweb.com', 'balticbusinessnews.com', 'ceemarket.com', 'cafebabel.de', 'cafebabel.co.uk', 'cafebabel.fr', 'cafebabel.it', 'cafebabel.pl', 'cafebabel.es', 'cordis.europa.eu', 'dtt-net.com', 'periodicoeleuropeo.com', 'eubusiness.com', 'euobserver.com', 'euractiv.de', 'euractiv.com', 'euractiv.fr', 'eurointelligence.com', 'eurotopics.net', 'businessrevieweurope.eu', 'europeenimages.net', 'europenews.dk', 'europeandaily.com', 'scandinaviabusiness.com', 'scandinavianow.com', 'setimes.com', 'tol.org', 'unimondo.org', 'voxeurop.eu', 'cnbceb.com', 'newropeans-magazine.info', 'content.time.com', 'aquieuropa.com', 'europeanvoice.com', 'globalcapital.com', 'neurope.eu', 'stripes.com', 'wsj.com', 'washingtonpost.com', 'zaman.com.tr', 'prnewswire.co.uk', 'pressetext.com']"
Djibouti,"['rtd.dj', 'djibnet.com', 'djiboutination.com', 'alqarn.dj', 'lanationdj.com', 'adi.dj']"
Thailand,"['ch7.com', 'modernine.mcot.net', 'nationtv.tv', 'thailand.prd.go.th', 'prd.go.th', 'tnews.co.th', 'englishnews.thaipbs.or.th', 'thaipbs.or.th', 'krobkruakao.com', 'tnnthailand.com', 'tv5.co.th', 'thaiexaminer.com', 'thailand4.com', 'thailandnews.net', 'matichon.co.th', 'nationweekend.com', 'dailynews.co.th', 'khaosod.co.th', 'komchadluek.net', 'naewna.com', 'thairath.co.th', 'mcot.net', 'asiatradingonline.com', 'chiangmainews.com', 'chiangmai-mail.com', 'chiangraitimes.com', 'pattayablatt.com', 'pattayadailynews.com', 'pattayamail.com', 'pattayaone.net', 'pattayapeople.com', 'pattaya-times.com', 'pattayatoday.net', '2bangkok.com', 'banmuang.co.th', 'bangkoknews.net', 'bangkokpost.com', 'bangkokshuho.com', 'bangkokbiznews.com', 'lepetitjournal.com', 'manager.co.th', 'nationmultimedia.com', 'posttoday.com', 'prachachat.net', 'siamsport.co.th', 'siamrath.co.th', 'siamturakij.com', 'thaipost.net', 'thanonline.com', 'koratdaily.com', 'thekoratpost.com', 'thaiwave.com', 'novostiphuketa.com', 'phuketgazette.net', 'thephuketnews.com', 'huahinnews.net', 'huahintoday.net']"
Martinique,"['martinique.la1ere.fr', 'rci.fm', 'assemblee-martinique.com', 'zananas-martinique.com', 'martinique.franceantilles.fr', 'antilla.fr']"
Syria,"['rtv.gov.sy', 'alshaminfo.com', 'syria-news.com', 'syriatimes.sy', 'fw-magazine.com', 'syria-today.com', 'thawra.sy', 'alwatan.sy', 'tishreen.news.sy', 'sana.sy', 'jamahir.alwehda.gov.sy', 'ncro.sy', 'riadi.alwehda.gov.sy', 'an-nour.com', 'baladnaonline.net', 'furat.alwehda.gov.sy', 'fedaa.alwehda.gov.sy', 'ouruba.alwehda.gov.sy', 'wehda.alwehda.gov.sy']"
